Date of collision,Grid,Number of Incidents,Implied vehicules,Serious injury,Light injury,Total victims,Trucks and car,Heavy tractor,Tool equipment,Bus,Bicycle,Moped,Motorcycle,Emergency vehicule,Snowmobile,VHR,Other types,Non-Precise vehicule,Pedestrian death,Pedestrian injury,Pedestrian victims,Motorcycle death,Motorcycle injuries,Motorcycle victims,Bicycle death,Bicycle injury,Bicycle victims,Severity: Inferior damages,Severity: Material damages,Severity: Serious injury,Severity: Light injury,Severity: Death
2012-01-08,GRID_45.541666485|-73.70833602500002,3,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2012-01-08,GRID_45.624999815|-73.541669365,5,11,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0
2012-01-08,GRID_45.624999815|-73.625002695,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-09,GRID_45.458333155|-73.625002695,16,30,1,1,2,19,3,0,0,0,0,0,0,0,0,1,6,0,1,1,0,0,0,0,0,0,13,1,1,1,0
2012-01-09,GRID_45.458333155|-73.70833602500002,4,8,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2012-01-09,GRID_45.458333155|-73.791669355,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2012-01-09,GRID_45.541666485|-73.541669365,18,37,0,1,1,23,2,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,0,0,0,0,9,8,0,1,0
2012-01-09,GRID_45.541666485|-73.625002695,15,28,0,5,5,18,0,0,0,1,0,0,2,0,0,0,6,0,1,1,0,0,0,0,1,1,9,3,0,3,0
2012-01-09,GRID_45.541666485|-73.70833602500002,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-09,GRID_45.541666485|-73.791669355,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-09,GRID_45.624999815|-73.541669365,5,9,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
